SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,Xcoordinate,Ycoordinate
@JumboPlus5GHz,00:7e:95:c5:3b:0e,-59,100,Y,TH,RSN(802.1x/AES/AES),744.3113224803366,1189.1528260471923
eduroam,00:7e:95:c5:3b:0d,-59,100,Y,TH,RSN(802.1x/AES/AES),744.3113224803366,1189.1528260471923
@JumboPlusIoT,00:7e:95:c5:3b:0c,-58,100,Y,TH,RSN(PSK/AES/AES),744.3113224803366,1189.1528260471923
@TOT_Wi-Fi,00:7e:95:c5:3b:08,-59,100,Y,TH,NONE,744.3113224803366,1189.1528260471923
.@TrueMoveH,00:7e:95:c5:3b:07,-58,100,Y,TH,RSN(802.1x/AES/AES),744.3113224803366,1189.1528260471923
AISSMARTLogin,00:7e:95:c5:3b:06,-58,100,Y,TH,RSN(802.1x/AES/AES),744.3113224803366,1189.1528260471923
AISSMARTLogin,00:7e:95:c5:34:c6,-83,64,Y,TH,RSN(802.1x/AES/AES),744.3113224803366,1189.1528260471923
.@TrueMoveH,00:7e:95:c5:34:c7,-83,64,Y,TH,RSN(802.1x/AES/AES),744.3113224803366,1189.1528260471923
@TOT_Wi-Fi,00:7e:95:c5:34:c8,-83,64,Y,TH,NONE,744.3113224803366,1189.1528260471923
@JumboPlusIoT,00:7e:95:c5:34:cc,-83,64,Y,TH,RSN(PSK/AES/AES),744.3113224803366,1189.1528260471923
eduroam,00:7e:95:c5:34:cd,-83,64,Y,TH,RSN(802.1x/AES/AES),744.3113224803366,1189.1528260471923
@JumboPlus5GHz,00:7e:95:c5:34:ce,-83,64,Y,TH,RSN(802.1x/AES/AES),744.3113224803366,1189.1528260471923
eduroam,04:5f:b9:e5:da:2d,-87,64,Y,TH,RSN(802.1x/AES/AES),744.3113224803366,1189.1528260471923
@JumboPlusIoT,04:5f:b9:e5:da:2c,-86,64,Y,TH,RSN(PSK/AES/AES),744.3113224803366,1189.1528260471923
@TOT_Wi-Fi,04:5f:b9:e5:da:28,-87,64,Y,TH,NONE,744.3113224803366,1189.1528260471923
.@TrueMoveH,04:5f:b9:e5:da:27,-86,64,Y,TH,RSN(802.1x/AES/AES),744.3113224803366,1189.1528260471923
AISSMARTLogin,04:5f:b9:e5:da:26,-86,64,Y,TH,RSN(802.1x/AES/AES),744.3113224803366,1189.1528260471923
@JumboPlus,00:7e:95:c5:3b:00,-53,1,Y,TH,RSN(802.1x/AES/AES),744.3113224803366,1189.1528260471923
AISSMARTLogin,00:7e:95:c9:f9:06,-73,52,Y,TH,RSN(802.1x/AES/AES),744.3113224803366,1189.1528260471923
.@TrueMoveH,00:7e:95:c9:f9:07,-73,52,Y,TH,RSN(802.1x/AES/AES),744.3113224803366,1189.1528260471923
@TOT_Wi-Fi,00:7e:95:c9:f9:08,-73,52,Y,TH,NONE,744.3113224803366,1189.1528260471923
@JumboPlusIoT,00:7e:95:c9:f9:0c,-73,52,Y,TH,RSN(PSK/AES/AES),744.3113224803366,1189.1528260471923
eduroam,00:7e:95:c9:f9:0d,-73,52,Y,TH,RSN(802.1x/AES/AES),744.3113224803366,1189.1528260471923
@JumboPlus5GHz,00:7e:95:c9:f9:0e,-73,52,Y,TH,RSN(802.1x/AES/AES),744.3113224803366,1189.1528260471923
CPE-Staff,70:f3:5a:55:a7:cf,-92,52,Y,TH,NONE,744.3113224803366,1189.1528260471923
CPE-WiFi,70:f3:5a:55:a7:ce,-92,52,Y,TH,NONE,744.3113224803366,1189.1528260471923
@JumboPlus5GHz,00:7e:95:cb:a8:8e,-73,157,Y,TH,RSN(802.1x/AES/AES),744.3113224803366,1189.1528260471923
@JumboPlus5GHz,00:7e:95:c4:fa:6e,-62,157,Y,TH,RSN(802.1x/AES/AES),744.3113224803366,1189.1528260471923
@JumboPlus5GHz,00:7e:95:c5:28:6e,-87,157,Y,TH,RSN(802.1x/AES/AES),744.3113224803366,1189.1528260471923
eduroam,00:7e:95:c5:28:6d,-87,157,Y,TH,RSN(802.1x/AES/AES),744.3113224803366,1189.1528260471923
AISSMARTLogin,00:7e:95:cb:a8:86,-73,157,Y,TH,RSN(802.1x/AES/AES),744.3113224803366,1189.1528260471923
.@TrueMoveH,00:7e:95:cb:a8:87,-73,157,Y,TH,RSN(802.1x/AES/AES),744.3113224803366,1189.1528260471923
AISSMARTLogin,00:7e:95:c4:fa:66,-62,157,Y,TH,RSN(802.1x/AES/AES),744.3113224803366,1189.1528260471923
@TOT_Wi-Fi,00:7e:95:cb:a8:88,-73,157,Y,TH,NONE,744.3113224803366,1189.1528260471923
.@TrueMoveH,00:7e:95:c4:fa:67,-61,157,Y,TH,RSN(802.1x/AES/AES),744.3113224803366,1189.1528260471923
@JumboPlusIoT,00:7e:95:cb:a8:8c,-72,157,Y,TH,RSN(PSK/AES/AES),744.3113224803366,1189.1528260471923
@TOT_Wi-Fi,00:7e:95:c4:fa:68,-62,157,Y,TH,NONE,744.3113224803366,1189.1528260471923
eduroam,00:7e:95:cb:a8:8d,-73,157,Y,TH,RSN(802.1x/AES/AES),744.3113224803366,1189.1528260471923
@JumboPlusIoT,00:7e:95:c4:fa:6c,-62,157,Y,TH,RSN(PSK/AES/AES),744.3113224803366,1189.1528260471923
eduroam,00:7e:95:c4:fa:6d,-62,157,Y,TH,RSN(802.1x/AES/AES),744.3113224803366,1189.1528260471923
AISSMARTLogin,00:b6:70:59:9f:06,-74,44,Y,TH,RSN(802.1x/AES/AES),744.3113224803366,1189.1528260471923
.@TrueMoveH,00:b6:70:59:9f:07,-74,44,Y,TH,RSN(802.1x/AES/AES),744.3113224803366,1189.1528260471923
@TOT_Wi-Fi,00:b6:70:59:9f:08,-74,44,Y,TH,NONE,744.3113224803366,1189.1528260471923
