Xcoordinate,Ycoordinate,BSSID_Sumarize,Max_lists
1536.4419142501333,1248.2312261558836,00:b6:70,-82
1553.7776987092052,780.165045760936,00:b6:70,-59
1557.24485560102,787.0993595445648,00:b6:70,-59
1557.24485560102,807.9023008954514,00:b6:70,-64
1571.1134831682775,388.37631698590576,00:b6:70,-53
1571.1134831682775,416.11357212042117,00:b6:70,-50
1578.047796951906,429.98219968767876,00:b6:70,-53
1581.5149538437208,429.98219968767876,00:b6:70,-55
1588.4492676273494,419.58072901223545,00:b6:70,-58
1595.3835814109784,433.44935657949327,00:b6:70,-54
1595.3835814109784,558.2670046848127,00:b6:70,-45
1602.3178951946074,1255.1655399395122,00:b6:70,-77
1602.3178951946074,724.6905354919052,00:b6:70,-59
1605.7850520864217,561.734161576627,00:b6:70,-48
1605.7850520864217,565.2013184684415,00:b6:70,-42
1609.252208978236,1251.698383047698,00:b6:70,-77
1609.252208978236,561.734161576627,00:b6:70,-49
1609.252208978236,742.0263199509773,00:b6:70,-58
1612.7193658700508,1255.1655399395122,00:b6:70,-73
1612.7193658700508,572.1356322520703,00:b6:70,-55
1612.7193658700508,731.624849275534,00:b6:70,-61
1612.7193658700508,735.0920061673485,00:b6:70,-51
1616.186522761865,731.624849275534,00:b6:70,-56
1619.6536796536793,1251.698383047698,00:b6:70,-82
1619.6536796536793,1255.1655399395122,00:b6:70,-72
1619.6536796536793,561.734161576627,00:b6:70,-47
1623.1208365454936,1251.698383047698,00:b6:70,-73
1623.1208365454936,565.2013184684415,00:b6:70,-50
1623.1208365454936,579.0699460356991,00:b6:70,-51
1626.5879934373083,1251.698383047698,00:b6:70,-79
1626.5879934373083,752.4277906264206,00:b6:70,-54
1630.0551503291226,1251.698383047698,00:b6:70,-81
1630.0551503291226,735.0920061673485,00:b6:70,-60
1633.522307220937,1251.698383047698,00:b6:70,-79
1657.7924054636383,1151.1508331850796,00:b6:70,-75
1661.2595623554525,1168.4866176441517,00:b6:70,-78
1664.7267192472668,1161.552303860523,00:b6:70,-76
1671.6610330308959,475.0552392812665,00:b6:70,-42
1685.5296605981534,478.5223961730808,00:b6:70,-44
1695.9311312735967,1258.6326968313267,00:b6:70,-76
1702.8654450572258,478.5223961730808,00:b6:70,-43
1706.33260194904,1258.6326968313267,00:b6:70,-73
1706.33260194904,1262.0998537231412,00:b6:70,-79
1709.7997588408543,1262.0998537231412,00:b6:70,-78
1709.7997588408543,721.2233786000907,00:b6:70,-45
1713.266915732669,1258.6326968313267,00:b6:70,-77
1713.266915732669,1262.0998537231412,00:b6:70,-77
1723.668386408112,1265.5670106149555,00:b6:70,-76
1730.602700191741,731.624849275534,00:b6:70,-47
1741.0041708671843,724.6905354919052,00:b6:70,-43
1747.9384846508133,728.1576923837194,00:b6:70,-44
1793.0115242444008,603.3400442784002,00:b6:70,-46
1793.0115242444008,638.0116131965444,00:b6:70,-40
1820.748779378916,620.6758287374723,00:b6:70,-41
1838.0845638379883,617.2086718456578,00:b6:70,-37
