SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,Xcoordinate,Ycoordinate
@TOT_Wi-Fi,00:7e:95:c4:fa:67,-60,6,Y,TH,NONE,677.6122994652405,353.19340463458104
.@AISSUPERWiFi,00:7e:95:c4:fa:66,-60,6,Y,TH,NONE,677.6122994652405,353.19340463458104
.@TRUEWIFI,00:7e:95:c4:fa:65,-60,6,Y,TH,NONE,677.6122994652405,353.19340463458104
@JumboPlusIoT,00:7e:95:c4:fa:63,-60,6,Y,TH,RSN(PSK/AES/AES),677.6122994652405,353.19340463458104
@JumboPlus,00:7e:95:c4:fa:60,-60,6,Y,TH,RSN(802.1x/AES/AES),677.6122994652405,353.19340463458104
SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,Xcoordinate,Ycoordinate
CPE-WiFi,00:a2:89:03:3a:2e,-91,132,Y,TH,NONE,203.45900178253112,163.53208556149733
@JumboPlus5GHz,00:b6:70:59:9f:0e,-70,104,Y,TH,RSN(802.1x/AES/AES),203.45900178253112,163.53208556149733
eduroam,00:b6:70:59:9f:0d,-70,104,Y,TH,RSN(802.1x/AES/AES),203.45900178253112,163.53208556149733
@JumboPlusIoT,00:b6:70:59:9f:0c,-71,104,Y,TH,RSN(PSK/AES/AES),203.45900178253112,163.53208556149733
@TOT_Wi-Fi,00:b6:70:59:9f:08,-71,104,Y,TH,NONE,203.45900178253112,163.53208556149733
.@TrueMoveH,00:b6:70:59:9f:07,-71,104,Y,TH,RSN(802.1x/AES/AES),203.45900178253112,163.53208556149733
AISSMARTLogin,00:b6:70:59:9f:06,-71,104,Y,TH,RSN(802.1x/AES/AES),203.45900178253112,163.53208556149733
@JumboPlus5GHz,00:7e:95:c5:34:ce,-82,100,Y,TH,RSN(802.1x/AES/AES),203.45900178253112,163.53208556149733
eduroam,00:7e:95:c5:34:cd,-83,100,Y,TH,RSN(802.1x/AES/AES),203.45900178253112,163.53208556149733
@JumboPlusIoT,00:7e:95:c5:34:cc,-83,100,Y,TH,RSN(PSK/AES/AES),203.45900178253112,163.53208556149733
@TOT_Wi-Fi,00:7e:95:c5:34:c8,-83,100,Y,TH,NONE,203.45900178253112,163.53208556149733
.@TrueMoveH,00:7e:95:c5:34:c7,-83,100,Y,TH,RSN(802.1x/AES/AES),203.45900178253112,163.53208556149733
AISSMARTLogin,00:7e:95:c5:34:c6,-84,100,Y,TH,RSN(802.1x/AES/AES),203.45900178253112,163.53208556149733
AISSMARTLogin,04:5f:b9:e5:da:26,-88,64,Y,TH,RSN(802.1x/AES/AES),203.45900178253112,163.53208556149733
.@TrueMoveH,04:5f:b9:e5:da:27,-88,64,Y,TH,RSN(802.1x/AES/AES),203.45900178253112,163.53208556149733
@TOT_Wi-Fi,04:5f:b9:e5:da:28,-88,64,Y,TH,NONE,203.45900178253112,163.53208556149733
@JumboPlusIoT,04:5f:b9:e5:da:2c,-87,64,Y,TH,RSN(PSK/AES/AES),203.45900178253112,163.53208556149733
eduroam,04:5f:b9:e5:da:2d,-88,64,Y,TH,RSN(802.1x/AES/AES),203.45900178253112,163.53208556149733
AISSMARTLogin,00:7e:95:c9:f9:06,-61,64,Y,TH,RSN(802.1x/AES/AES),203.45900178253112,163.53208556149733
.@TrueMoveH,00:7e:95:c9:f9:07,-62,64,Y,TH,RSN(802.1x/AES/AES),203.45900178253112,163.53208556149733
@TOT_Wi-Fi,00:7e:95:c9:f9:08,-61,64,Y,TH,NONE,203.45900178253112,163.53208556149733
@JumboPlusIoT,00:7e:95:c9:f9:0c,-61,64,Y,TH,RSN(PSK/AES/AES),203.45900178253112,163.53208556149733
eduroam,00:7e:95:c9:f9:0d,-61,64,Y,TH,RSN(802.1x/AES/AES),203.45900178253112,163.53208556149733
@JumboPlus5GHz,00:7e:95:c9:f9:0e,-61,64,Y,TH,RSN(802.1x/AES/AES),203.45900178253112,163.53208556149733
CPE-Staff,00:a2:89:03:36:ef,-89,64,Y,TH,NONE,203.45900178253112,163.53208556149733
CPE-WiFi,00:a2:89:03:36:ee,-90,64,Y,TH,NONE,203.45900178253112,163.53208556149733
