SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,Xcoordinate,Ycoordinate
@JumboPlus,00:7e:95:c7:ec:60,-51,1,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
@JumboPlus,00:7e:95:c7:f3:c0,-62,1,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
AISSMARTLogin,00:7e:95:c5:46:46,-77,104,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
.@TrueMoveH,00:7e:95:c5:46:47,-77,104,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
eduroam,00:7e:95:c5:17:cd,-73,100,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
@JumboPlusIoT,00:7e:95:c5:17:cc,-73,100,Y,TH,RSN(PSK/AES/AES),1557.24485560102,787.0993595445648
.@TrueMoveH,00:7e:95:c5:17:c7,-73,100,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
AISSMARTLogin,00:7e:95:c5:17:c6,-73,100,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
@TOT_Wi-Fi,00:7e:95:c7:e8:e8,-74,100,Y,TH,NONE,1557.24485560102,787.0993595445648
.@TrueMoveH,00:7e:95:c7:e8:e7,-74,100,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
AISSMARTLogin,00:7e:95:c7:e8:e6,-74,100,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
@TOT_Wi-Fi,00:7e:95:c5:17:c8,-72,100,Y,TH,NONE,1557.24485560102,787.0993595445648
@JumboPlusIoT,00:7e:95:c7:e8:ec,-74,100,Y,TH,RSN(PSK/AES/AES),1557.24485560102,787.0993595445648
eduroam,00:7e:95:c7:e8:ed,-74,100,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
@JumboPlus5GHz,00:7e:95:c7:e8:ee,-74,100,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
