SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,Xcoordinate,Ycoordinate
s,u,m
SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,Xcoordinate,Ycoordinate
AISSMARTLogin,00:7e:95:c9:d3:26,-74,48,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
.@TrueMoveH,00:7e:95:c9:7b:67,-72,48,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
.@TrueMoveH,00:7e:95:c9:d3:27,-74,48,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
@TOT_Wi-Fi,00:7e:95:c9:7b:68,-73,48,Y,TH,NONE,133.58377896613183,588.8475935828877
@TOT_Wi-Fi,00:7e:95:c9:d3:28,-74,48,Y,TH,NONE,133.58377896613183,588.8475935828877
@JumboPlusIoT,00:7e:95:c9:7b:6c,-73,48,Y,TH,RSN(PSK/AES/AES),133.58377896613183,588.8475935828877
@JumboPlusIoT,00:7e:95:c9:d3:2c,-74,48,Y,TH,RSN(PSK/AES/AES),133.58377896613183,588.8475935828877
eduroam,00:7e:95:c9:7b:6d,-73,48,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
eduroam,00:7e:95:c9:d3:2d,-74,48,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
@JumboPlus5GHz,00:7e:95:c9:7b:6e,-73,48,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
@JumboPlus5GHz,00:7e:95:c9:d3:2e,-74,48,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
AISSMARTLogin,00:7e:95:c9:79:06,-56,44,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
.@TrueMoveH,00:7e:95:c9:79:07,-56,44,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
