Xcoordinate,Ycoordinate,Mean,NewMean
1616.186522761865,731.624849275534,[-50. -59. -85. -56. -58. -63. -73.],-63.42857142857143
1619.6536796536793,1251.698383047698,[-57. -62. -82. -53. -76. -72. -84. -68. -75.],-69.88888888888889
1619.6536796536793,1255.1655399395122,[-47. -63. -72. -51. -76. -64. -61.],-62.0
1619.6536796536793,561.734161576627,[-53. -47. -62. -81. -66. -51. -74. -89.],-65.375
1623.1208365454936,1251.698383047698,[-46. -62. -73. -53. -76. -72. -68. -64.],-64.25
1623.1208365454936,565.2013184684415,[-58. -55. -57. -82. -50. -65. -73. -88.],-66.0
1623.1208365454936,579.0699460356991,[-61. -50. -56. -78. -51. -67. -58. -73. -88. -70.],-65.2
1626.5879934373083,1251.698383047698,[-51. -62. -81. -85. -76. -72. -83. -68.],-72.25
1626.5879934373083,752.4277906264206,[-54. -84. -52. -87. -61. -64. -75. -66.],-67.875
1630.0551503291226,1251.698383047698,[-47. -62. -81. -55. -87. -76. -72. -85. -74. -71.],-71.0
1630.0551503291226,735.0920061673485,[-63. -83. -49. -61. -87. -60. -62. -68. -77. -55. -65.],-66.36363636363636
1633.522307220937,1251.698383047698,[-48. -70. -79. -50. -85. -76. -72. -82. -74.],-70.66666666666667
1657.7924054636383,1151.1508331850796,[-55. -62. -75. -61. -89. -79. -70.],-70.14285714285714
1661.2595623554525,1168.4866176441517,[-60. -62. -78. -61. -90. -83.],-72.33333333333333
1664.7267192472668,1161.552303860523,[-57.  -64.5 -77.  -61.  -89.  -82.5 -62.  -85. ],-72.25
1671.6610330308959,475.0552392812665,[-48. -76. -75. -42. -79. -53. -64. -67. -62.],-62.888888888888886
1685.5296605981534,478.5223961730808,[-55. -46. -68. -73. -44. -49. -67. -77. -62.],-60.111111111111114
1695.9311312735967,1258.6326968313267,[-47.5 -73.  -77.5 -77.  -64.  -90.  -84.  -71. ],-73.0
1702.8654450572258,478.5223961730808,[-55. -52. -76. -43. -72. -42. -64. -67.],-58.875
1706.33260194904,1258.6326968313267,[-53.  -73.  -77.  -78.  -63.5 -88.5 -71.5 -69. ],-71.6875
1706.33260194904,1262.0998537231412,[-51. -73. -79. -78. -65. -88. -71. -87. -69.],-73.44444444444444
1709.7997588408543,1262.0998537231412,[-58.  -73.  -78.5 -78.  -64.5 -86.  -77.  -76.  -72.5 -84. ],-74.75
1709.7997588408543,721.2233786000907,[-86. -44. -60. -84. -45. -67. -70. -72.],-66.0
1713.266915732669,1258.6326968313267,[-44. -73. -77. -78. -65. -89. -79. -74.],-72.375
1713.266915732669,1262.0998537231412,[-48. -73. -77. -78. -63. -87. -80. -72. -74.],-72.44444444444444
1723.668386408112,1265.5670106149555,[-50. -73. -76. -78. -63. -87. -79. -72.],-72.25
1730.602700191741,731.624849275534,[-69. -43. -67. -88. -47. -59. -68. -70. -58. -66.],-63.5
1741.0041708671843,724.6905354919052,[-39. -61. -85. -43. -69. -74. -70. -63.],-63.0
1747.9384846508133,728.1576923837194,[-69. -40. -67. -87. -44. -68. -86. -66.],-65.875
1793.0115242444008,603.3400442784002,[-69. -46. -77. -73. -60. -83. -71. -58. -63.],-66.66666666666667
1793.0115242444008,638.0116131965444,[-44. -75. -78. -40. -73. -54. -61. -55. -63.],-60.333333333333336
1820.748779378916,620.6758287374723,[-69.  -45.  -67.  -80.  -42.  -69.5 -61.  -70.  -60.  -62. ],-62.55
1838.0845638379883,617.2086718456578,[-69. -38. -77. -37. -66. -63. -65. -60. -62.],-59.666666666666664
1869.2889758643182,464.6537686058232,[-72. -53. -75. -77. -43. -78. -62. -64. -74. -63.],-66.1
1876.2232896479468,475.0552392812665,[-63. -49. -76. -88. -42. -75. -86. -64. -62. -69.],-67.4
1886.62476032339,461.1866117140087,[-63. -46. -73. -85. -43. -74. -67. -60. -62. -69.],-64.2
503.2291604894343,953.5228903516572,[-71. -54. -64. -70. -58. -69. -88. -59. -73.],-67.33333333333333
503.2291604894343,956.9900472434717,[-68. -42. -64. -70. -58. -69. -74. -88. -59. -73.],-66.5
506.69631738124883,963.9243610271005,[-71. -46. -72. -70. -58. -75. -74. -88. -59. -77.],-69.0
510.16347427306334,953.5228903516572,[-69. -43. -64. -70. -58. -71. -74. -88. -59. -73.],-66.9
510.16347427306334,956.9900472434717,[-68. -38. -72. -70. -58. -74. -88. -59. -77.],-67.11111111111111
641.9154361620114,960.457204135286,[-62. -42. -64. -70. -58. -69. -88. -59. -73.],-65.0
648.8497499456402,1154.6179900768939,"[-87.         -58.         -65.         -75.         -74.66666667
 -74.         -57.         -88.         -69.33333333 -66.33333333]",-71.43333333333335
648.8497499456402,974.3258317025438,[-59. -43. -64. -70. -58. -66. -65. -88.],-64.125
652.3169068374547,1154.6179900768939,[-85. -50. -65. -88. -76. -52. -57. -61. -70.],-67.11111111111111
655.7840637292692,1154.6179900768939,[-84. -53. -78. -75. -76. -69. -68. -88. -72. -71.],-73.4
659.2512206210835,1154.6179900768939,[-88. -60. -78. -75. -66. -70. -68. -83. -72. -71.],-73.1
666.1855344047125,1158.0851469687084,[-87.5 -57.  -76.  -75.  -73.  -68.  -81.  -78.  -72.  -66.5],-73.4
676.5870050801556,1158.0851469687084,[-90. -52. -76. -75. -74. -73. -68. -83. -78. -77. -72.],-74.36363636363636
