Xcoordinate,Ycoordinate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
1331.437717212365,1157.0694164989939,-69,-76,-77,-77,-70,-64,-66,-59,-59,-74,-74,-64,-64,-83,-63,-69,-64,-69,-64,-69,-69,-63,-69,-69,-69,-69,-83,-84,-84,-83,-83,-61,-60,-60,-60,-60,-60,-84,-84,-84,-84,-89,-89,-58,-58,-60,-61,-61,-57,-61,-58,-61,-60,-47,-48,-60,-48,-48,-48,-62,-59,-73,-55,-56,-85,-85,-85,-76,-76,-77,-76,-76,-76,-76,-76,-77,-76,-77,-77,-89,-88,-84,-84,-85,-84,-83,-83,-84,-74,-74,-75,-74,-74,-74,-84,-84,-46,-46,-46,-46,-46,-46,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1341.0627400768249,415.9426559356134,-61,-61,-61,-61,-61,-52,-45,-58,-52,-62,-56,-59,-60,-52,-62,-61,-62,-62,-64,-63,-58,-59,-56,-56,-68,-64,-67,-62,-69,-84,-84,-83,-58,-58,-60,-60,-74,-76,-78,-78,-78,-77,-76,-74,-74,-74,-60,-59,-60,-60,-59,-60,-59,-60,-59,-60,-76,-77,-68,-76,-75,-75,-75,-77,-67,-67,-67,-67,-51,-50,-51,-51,-51,-51,-67,-84,-83,-84,-84,-85,-81,-81,-81,-81,-80,-81,-84,-70,-84,-83,-83,-83,-84,-83,-83,-84,-83,-83,-83,-84,-67,-67,-67,-83,-86,-84,-82,-83,-85,-70,-66,-67,-70,-60,-60,-60,-60,-54,-70,-54,-70,-60,-54,-67,-54,-55,-54,-60,-100
1405.2295591732213,1166.6944393634535,-69,-68,-76,-89,-90,-74,-74,-79,-79,-79,-79,-79,-79,-64,-64,-64,-71,-64,-72,-72,-71,-64,-71,-64,-63,-71,-63,-85,-85,-85,-84,-86,-84,-68,-67,-67,-67,-67,-67,-88,-88,-88,-88,-59,-59,-60,-60,-59,-59,-59,-59,-59,-59,-66,-37,-37,-37,-37,-36,-69,-64,-60,-70,-77,-77,-61,-61,-74,-75,-74,-75,-74,-74,-87,-87,-86,-86,-87,-83,-83,-83,-83,-82,-83,-86,-78,-78,-78,-78,-78,-78,-81,-82,-81,-81,-81,-34,-34,-34,-34,-82,-34,-34,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1437.3129687214196,778.4851838302541,-64,-64,-64,-70,-70,-70,-70,-70,-70,-79,-77,-77,-78,-78,-78,-78,-86,-84,-85,-86,-75,-74,-68,-68,-68,-68,-68,-68,-62,-62,-63,-62,-51,-69,-58,-63,-58,-58,-47,-47,-58,-47,-58,-47,-47,-58,-58,-82,-70,-70,-81,-81,-71,-71,-70,-84,-83,-84,-80,-81,-73,-66,-66,-66,-73,-65,-66,-73,-81,-73,-43,-43,-43,-43,-43,-43,-86,-71,-72,-72,-72,-76,-76,-76,-83,-69,-69,-69,-69,-69,-69,-77,-76,-77,-77,-77,-67,-77,-56,-56,-56,-56,-56,-56,-55,-55,-55,-55,-55,-54,-78,-78,-78,-68,-82,-68,-82,-68,-82,-82,-82,-56,-56,-56,-56,-56,-56,-100,-71
1472.6047192244378,1163.4860984086336,-74,-74,-69,-69,-78,-68,-65,-65,-85,-86,-85,-86,-86,-86,-57,-57,-57,-57,-57,-57,-71,-71,-71,-71,-71,-71,-58,-58,-58,-58,-58,-87,-87,-90,-89,-57,-58,-58,-58,-62,-63,-62,-62,-63,-58,-37,-36,-37,-37,-36,-71,-61,-76,-60,-68,-66,-83,-78,-79,-77,-77,-78,-77,-82,-82,-82,-82,-82,-82,-83,-82,-81,-83,-84,-82,-83,-82,-82,-82,-35,-35,-35,-35,-35,-35,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1491.8547649533566,428.7760197548928,-69,-69,-69,-70,-83,-84,-72,-72,-73,-72,-72,-72,-72,-71,-72,-73,-73,-72,-86,-87,-86,-87,-73,-73,-73,-82,-81,-81,-81,-82,-75,-75,-76,-76,-76,-75,-62,-65,-64,-63,-62,-74,-74,-74,-74,-74,-74,-70,-56,-59,-59,-59,-56,-59,-59,-61,-40,-54,-56,-61,-68,-67,-68,-66,-67,-68,-53,-61,-61,-53,-53,-61,-51,-53,-61,-61,-71,-70,-78,-80,-75,-74,-80,-75,-80,-78,-78,-55,-55,-55,-55,-55,-55,-72,-73,-72,-52,-72,-53,-52,-52,-53,-52,-83,-84,-83,-83,-84,-83,-84,-70,-84,-82,-70,-82,-70,-84,-70,-70,-52,-82,-52,-52,-70,-52,-52,-65,-52,-100
1546.3965611852936,781.693524785074,-76,-72,-70,-70,-71,-70,-70,-70,-73,-73,-73,-73,-73,-85,-86,-85,-88,-86,-86,-86,-82,-81,-84,-83,-83,-83,-63,-82,-81,-63,-63,-61,-60,-61,-60,-61,-60,-68,-72,-60,-58,-57,-62,-53,-62,-60,-58,-53,-61,-59,-53,-53,-52,-62,-71,-79,-79,-79,-79,-79,-80,-76,-82,-76,-76,-76,-76,-75,-76,-76,-75,-62,-81,-67,-76,-75,-80,-80,-68,-80,-68,-62,-68,-62,-49,-49,-67,-49,-49,-67,-62,-49,-62,-50,-62,-76,-76,-76,-76,-76,-75,-78,-78,-76,-75,-82,-82,-76,-76,-47,-59,-81,-82,-85,-85,-84,-75,-75,-59,-59,-59,-60,-59,-47,-47,-47,-47,-47,-100
1559.229925004573,1176.319462227913,-76,-53,-74,-74,-75,-75,-80,-81,-67,-67,-67,-67,-67,-67,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-86,-86,-86,-86,-86,-85,-86,-86,-68,-68,-68,-68,-69,-70,-70,-70,-70,-70,-68,-50,-78,-50,-50,-69,-50,-69,-63,-65,-63,-73,-71,-80,-80,-80,-79,-80,-80,-85,-85,-85,-83,-84,-83,-84,-86,-83,-83,-83,-53,-53,-53,-53,-53,-53,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1562.438265959393,422.3593378452531,-72,-81,-80,-81,-81,-81,-80,-86,-86,-86,-71,-71,-71,-71,-71,-71,-70,-70,-70,-70,-70,-70,-90,-84,-84,-85,-81,-81,-81,-84,-81,-85,-85,-66,-65,-65,-65,-65,-65,-68,-68,-56,-56,-56,-55,-68,-56,-68,-56,-66,-68,-43,-43,-52,-57,-56,-61,-57,-63,-63,-63,-55,-64,-62,-64,-89,-71,-70,-84,-82,-82,-82,-86,-83,-80,-80,-79,-80,-80,-82,-79,-61,-81,-81,-81,-81,-80,-84,-61,-50,-50,-50,-50,-50,-61,-60,-50,-49,-50,-61,-50,-50,-50,-50,-71,-71,-71,-71,-71,-72,-84,-84,-75,-75,-75,-75,-85,-75,-42,-84,-42,-85,-84,-42,-42,-42,-66,-42,-100
1591.3133345527713,1237.2779403694894,-89,-89,-88,-90,-76,-61,-53,-53,-53,-53,-53,-71,-71,-81,-81,-81,-81,-82,-81,-85,-68,-84,-84,-68,-83,-68,-73,-68,-84,-84,-72,-68,-73,-72,-68,-74,-74,-72,-73,-71,-71,-71,-72,-72,-72,-87,-88,-72,-72,-72,-61,-62,-71,-62,-72,-62,-76,-61,-60,-75,-74,-83,-86,-83,-86,-83,-83,-83,-83,-78,-83,-78,-78,-78,-83,-78,-83,-78,-81,-81,-81,-82,-82,-81,-84,-84,-83,-84,-45,-83,-45,-45,-45,-83,-45,-45,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
