SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,Xcoordinate,Ycoordinate
AISSMARTLogin,00:7e:95:c7:f0:a6,-77,157,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
.@TrueMoveH,00:7e:95:c7:f0:a7,-77,157,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
@TOT_Wi-Fi,00:7e:95:c7:f0:a8,-77,157,Y,TH,NONE,240.89215686274508,32.34135472370781
@JumboPlusIoT,00:7e:95:c7:f0:ac,-77,157,Y,TH,RSN(PSK/AES/AES),240.89215686274508,32.34135472370781
eduroam,00:7e:95:c7:f0:ad,-77,157,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
@JumboPlus5GHz,00:7e:95:c7:f0:ae,-77,157,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
AISSMARTLogin,04:5f:b9:e5:81:c6,-70,149,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
AISSMARTLogin,04:5f:b9:e5:1f:a6,-63,149,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
@TOT_Wi-Fi,00:7e:95:c5:10:28,-79,149,Y,TH,NONE,240.89215686274508,32.34135472370781
@JumboPlusIoT,04:5f:b9:e5:81:cc,-70,149,Y,TH,RSN(PSK/AES/AES),240.89215686274508,32.34135472370781
.@TrueMoveH,00:7e:95:c9:d3:27,-70,149,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
@JumboPlusIoT,00:7e:95:c9:d3:2c,-70,149,Y,TH,RSN(PSK/AES/AES),240.89215686274508,32.34135472370781
@JumboPlus5GHz,00:7e:95:c5:10:2e,-80,149,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
@JumboPlus5GHz,00:7e:95:c9:d3:2e,-71,149,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
AISSMARTLogin,00:7e:95:c5:10:26,-80,149,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
AISSMARTLogin,04:5f:b9:e4:2f:86,-75,149,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
.@TrueMoveH,00:7e:95:c5:10:27,-79,149,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
AISSMARTLogin,00:7e:95:c9:d3:26,-70,149,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
.@TrueMoveH,04:5f:b9:e5:1f:a7,-62,149,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
@TOT_Wi-Fi,00:7e:95:c9:d3:28,-70,149,Y,TH,NONE,240.89215686274508,32.34135472370781
@JumboPlusIoT,04:5f:b9:e5:1f:ac,-62,149,Y,TH,RSN(PSK/AES/AES),240.89215686274508,32.34135472370781
@JumboPlusIoT,00:7e:95:c5:10:2c,-79,149,Y,TH,RSN(PSK/AES/AES),240.89215686274508,32.34135472370781
eduroam,00:7e:95:c9:d3:2d,-70,149,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
eduroam,00:7e:95:c5:10:2d,-80,149,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
@JumboPlus5GHz,04:5f:b9:e5:1f:ae,-62,149,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
@JumboPlus5GHz,00:7e:95:cb:6f:ae,-85,48,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
AISSMARTLogin,00:7e:95:cb:6f:a6,-85,48,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
.@TrueMoveH,00:7e:95:cb:6f:a7,-84,48,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
@TOT_Wi-Fi,00:7e:95:cb:6f:a8,-85,48,Y,TH,NONE,240.89215686274508,32.34135472370781
@JumboPlusIoT,00:7e:95:cb:6f:ac,-85,48,Y,TH,RSN(PSK/AES/AES),240.89215686274508,32.34135472370781
eduroam,00:7e:95:cb:6f:ad,-84,48,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
AISSMARTLogin,00:7e:95:c9:7b:66,-67,48,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
.@TrueMoveH,00:7e:95:c9:7b:67,-67,48,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
@TOT_Wi-Fi,00:7e:95:c9:7b:68,-67,48,Y,TH,NONE,240.89215686274508,32.34135472370781
@JumboPlusIoT,00:7e:95:c9:7b:6c,-67,48,Y,TH,RSN(PSK/AES/AES),240.89215686274508,32.34135472370781
eduroam,00:7e:95:c9:7b:6d,-67,48,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
@JumboPlus5GHz,00:7e:95:c9:7b:6e,-67,48,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
AISSMARTLogin,00:7e:95:c9:79:06,-66,44,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
.@TrueMoveH,00:7e:95:c9:79:07,-66,44,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
@TOT_Wi-Fi,00:7e:95:c9:79:08,-66,44,Y,TH,NONE,240.89215686274508,32.34135472370781
